"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 29 19:20:36 GMT+08:00 2020","Sat Feb 29 19:20:36 GMT+08:00 2020","0","homework","test_wyjhomework","","","","test_div_intparam[0-50-0]",""
"passed","Sat Feb 29 19:20:36 GMT+08:00 2020","Sat Feb 29 19:20:36 GMT+08:00 2020","0","homework","test_wyjhomework","","","","test_div_zeroparam[5-0-ZeroDivisionError]",""
"passed","Sat Feb 29 19:20:36 GMT+08:00 2020","Sat Feb 29 19:20:36 GMT+08:00 2020","0","homework","test_wyjhomework","","","","test_div_floatparam[7-4-1.75]",""
"failed","Sat Feb 29 19:20:36 GMT+08:00 2020","Sat Feb 29 19:20:36 GMT+08:00 2020","0","homework","test_wyjhomework","","","","test_div_intparam[55-5-12]",""
"broken","Sat Feb 29 19:20:36 GMT+08:00 2020","Sat Feb 29 19:20:36 GMT+08:00 2020","0","homework","test_wyjhomework","","","","test_div_stringparam[abc-1-TypeError]",""
"passed","Sat Feb 29 19:20:36 GMT+08:00 2020","Sat Feb 29 19:20:36 GMT+08:00 2020","1","homework","test_wyjhomework","","","","test_div_floatparam[1.05-1-1.05]",""
"broken","Sat Feb 29 19:20:36 GMT+08:00 2020","Sat Feb 29 19:20:36 GMT+08:00 2020","1","homework","test_wyjhomework","","","","test_div_stringparam[7-abc-None]",""
"broken","Sat Feb 29 19:20:36 GMT+08:00 2020","Sat Feb 29 19:20:36 GMT+08:00 2020","0","homework","test_wyjhomework","","","","test_div_stringparam[abc-abc-1]",""
"passed","Sat Feb 29 19:20:36 GMT+08:00 2020","Sat Feb 29 19:20:36 GMT+08:00 2020","0","homework","test_wyjhomework","","","","test_div_intparam[10000-1-10000]",""
"passed","Sat Feb 29 19:20:36 GMT+08:00 2020","Sat Feb 29 19:20:36 GMT+08:00 2020","0","homework","test_wyjhomework","","","","test_div_floatparam[100-3-33.333333333333336]",""
"passed","Sat Feb 29 19:20:36 GMT+08:00 2020","Sat Feb 29 19:20:36 GMT+08:00 2020","0","homework","test_wyjhomework","","","","test_div_intparam[10-2-5]",""
